label,nama_obat,golongan,jenis,manfaat,aturan_minum,catatan,,efek_samping,pantangan_makanan,interaksi_negatif,jika_lupa_minum,penyimpanan
Simvastatin20,Simvastatin 20 mg,Obat Keras (Hipolipidemik - Statin),Obat Kolesterol,Menurunkan kolesterol dan menjaga kesehatan jantung dosis yang lebih tinggi dari Simvastatin 10 mg.,"1× sehari, malam sebelum tidur.",Berfungsi menurunkan kolesterol jahat. Hindari minuman grapefruit dan makanan berlemak berlebihan. Segera laporkan ke dokter jika muncul nyeri otot atau gangguan liver., ,"Nyeri otot, lemah tubuh.","Jus grapefruit, durian.","Risiko interaksi meningkat jika diminum dengan jus grapefruit, eritromisin, dan antijamur. Waspadai gejala seperti nyeri otot atau lemah tubuh.",Minum jika belum terlewat lebih dari 6 jam. Lewati jika lebih.,"Tempat sejuk, hindari lembap."
Atorvastatin,Atorvastatin 20 mg,Obat Keras (Hipolipidemik - Statin),Obat Kolesterol,Menurunkan kolesterol dan mencegah penyumbatan pembuluh darah.,"1× sehari, malam sebelum tidur.","Bisa menyebabkan nyeri otot atau lemah tubuh, terutama di awal penggunaan. Minum obat ini di malam hari. Hindari jus grapefruit dan makanan tinggi lemak jenuh.", ,"Nyeri otot, gangguan liver.","Jus grapefruit, makanan tinggi lemak.",Interaksi dengan jus grapefruit dan beberapa antibiotik dapat meningkatkan risiko efek samping. Hindari makanan tinggi lemak jenuh.,Minum segera jika terlewat belum terlalu lama. Lewati jika sudah dekat waktu minum dosis berikutnya.,Tempat sejuk dan tidak terkena sinar.
Eutyrox,Eutyrox 100 mg,Obat Keras (Hormon Tiroid - Levothyroxine),Obat Hormon Tiroid,Menambah hormon tiroid agar tubuh tidak lemas dan berat badan stabil.,"1× sehari, pagi sebelum makan. Perut kosong.",Minum di pagi hari saat perut kosong. Tunggu 30 menit sebelum makan. Jangan minum bersamaan dengan susu atau kalsium karena dapat mengganggu penyerapannya., ,"Berdebar, insomnia jika salah waktu minum.","Susu, kalsium tinggi.","Interaksi dengan suplemen kalsium, zat besi, dan produk susu bisa mengurangi penyerapannya. Beri jeda waktu minimal 4 jam sebelum konsumsi suplemen atau susu.",Minum segera jika belum makan sarapan. Lewati jika sudah lewat lama.,"Suhu ruang, jauh dari susu dan kalsium."
Metformin,Metformin 500 mg,Obat Keras (Antidiabetes Oral - Biguanid),Obat Diabetes,Menurunkan gula darah.,"2× sehari, setelah makan pagi dan malam.",Bisa menyebabkan mual atau diare saat awal pemakaian. Jangan diminum saat perut kosong. Cukup minum air dan jangan dilewatkan saat makan., ,"Diare, mual, sakit perut.","Alkohol, makanan tinggi gula.",Metformin tidak boleh diminum bersama alkohol karena dapat menyebabkan asidosis laktat. Hindari juga kontras radiologi tanpa konsultasi dokter.,Minum saat makan berikutnya. Jangan ganti dosis.,Tempat sejuk dan kering.
Dapagliflozin,Forxiga (Dapagliflozin) 10 mg,Obat Keras (Antidiabetes Oral - SGLT2 Inhibitor),Obat Diabetes,Mengurangi gula darah lewat urin.,"1× sehari, pagi.",Dapat menyebabkan sering buang air kecil. Minum cukup air agar tidak dehidrasi. Jaga kebersihan area genital untuk mencegah infeksi jamur atau saluran kemih., ,"Infeksi saluran kemih, dehidrasi.",Alkohol.,"Berinteraksi dengan diuretik, meningkatkan risiko dehidrasi. Kombinasi dengan insulin atau obat diabetes lain juga bisa menyebabkan hipoglikemia.",Minum sesegera mungkin. Cukup minum air banyak.,"Suhu ruang, jauh dari sinar matahari."
Glimepiride,Glimepiride 1 mg,Obat Keras (Antidiabetes Oral - Sulfonilurea),Obat Diabetes,Merangsang tubuh mengeluarkan insulin.,"1× sehari, pagi sebelum makan.","Bisa menyebabkan kadar gula turun terlalu rendah jika tidak makan tepat waktu. Harus segera makan setelah minum obat ini. Waspadai gejala seperti lemas, gemetar, atau keringat dingin.", ,"Hipoglikemia, gemetar, pusing.",Makanan tinggi gula.,Interaksi dengan alkohol dan beta blocker bisa menutupi gejala gula darah rendah. Kombinasi dengan insulin atau obat diabetes lain harus dikontrol ketat.,"Jangan dilewatkan. Tetap minum obatnya, kemudian langsung makan.",Tempat sejuk dan aman dari anak-anak.
Allopurinol,Allopurinol 100 mg,Obat Keras (Antigout - Xanthine Oxidase Inhibitor),Obat Asam Urat & Nyeri Sendi,Menurunkan kadar asam urat dan mencegah nyeri sendi.,1× sehari.,Minum cukup air setiap hari untuk membantu pembuangan asam urat. Tidak dianjurkan untuk digunakan saat sedang serangan nyeri asam urat akut. Hindari makanan tinggi purin seperti jeroan dan emping., ,"Ruam kulit, batu ginjal (jarang).","Jeroan, kacang tanah, emping.","Allopurinol berinteraksi dengan warfarin, azathioprine, dan mercaptopurine. Pemakaian bersamaan harus diawasi ketat karena risiko toksisitas.",Lewati jika hampir waktu dosis berikut. Jangan menggandakan dosis.,"Tempat sejuk, jauh dari panas."
Loratadine,Loratadine 10 mg,Obat Bebas Terbatas (Antihistamin Non-Sedatif),Obat Alergi ,Mengurangi gatal dan reaksi alergi.,"1× sehari, siang atau malam.",Tidak menyebabkan kantuk. Aman untuk digunakan saat beraktivitas siang hari. Efek mulai terasa dalam 1–3 jam setelah diminum., ,"Mulut kering, sakit kepala.",Tidak ada pantangan khusus.,"Loratadine relatif aman, namun jika dikombinasikan dengan alkohol atau antihistamin lain dapat meningkatkan rasa kantuk atau efek samping.",Minum segera jika belum terlalu lama.,Tempat sejuk dan kering.
Mecobalamin,Konibal (Mecobalamin) 500 mcg,Suplemen (Vitamin B12),Obat Saraf,Mengatasi kesemutan dan memperbaiki fungsi saraf.,"3× sehari, sebelum atau sesudah makan.",Digunakan untuk memperbaiki kerusakan saraf atau kesemutan. Aman digunakan jangka panjang sesuai anjuran. Tidak menyebabkan kantuk dan bisa dikonsumsi sebelum atau sesudah makan., ,Diare ringan.,Tidak ada pantangan khusus.,"Jarang menimbulkan interaksi serius. Namun, sebaiknya konsultasikan sebelum digunakan bersamaan dengan obat kemoterapi atau antiepilepsi.",Minum sesegera mungkin. Lewati jika dekat dosis berikutnya.,Tempat sejuk dan tidak lembap.
Glucosamine,Glucosamine MPL 500 mg,Suplemen (Penyokong Sendi / Antiinflamasi Ringan),Obat Asam Urat & Nyeri Sendi,Menjaga kesehatan sendi agar tidak nyeri saat bergerak.,3× sehari.,Digunakan untuk menjaga kesehatan sendi. Efek terasa setelah konsumsi rutin selama 4–8 minggu. Bisa dikombinasikan dengan olahraga sendi ringan., ,Gangguan pencernaan.,Teh atau kopi saat minum suplemen.,"Dapat meningkatkan efek pengencer darah seperti warfarin, sehingga meningkatkan risiko perdarahan. Perlu pemantauan jika digunakan bersama.",Lewati jika lupa. Lanjutkan dosis selanjutnya.,Tempat sejuk dan kering.
Calcifar_Plus,Calcifar Plus (Kalsium + Vitamin D3),Suplemen (Mineral dan Vitamin),Vitamin Tulang,Mencegah tulang keropos dan menjaga kekuatan tulang.,"1–2× sehari, setelah makan.",Membantu menjaga kekuatan tulang. Jangan diminum bersamaan dengan teh atau kopi agar penyerapannya tidak terganggu. Cukup terpapar sinar matahari untuk bantu kerja vitamin D., ,Sembelit ringan.,Teh dan kopi saat minum suplemen.,Suplemen ini bisa mengganggu penyerapan levothyroxine (Eutyrox) dan beberapa antibiotik. Beri jeda waktu minimal 4 jam sebelum atau sesudah obat lain.,Lewati jika lupa. Jangan menggandakan dosis.,"Tempat kering, jauh dari kelembapan."
